City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,port alfred,-33.5906,26.891,70.18,88,11,4.0,ZA,1678118656
115,danilov,58.1908,40.1717,23.34,98,100,3.91,RU,1678118657
116,snyder,32.7179,-100.9176,69.31,48,0,9.22,US,1678118657
117,nome,64.5011,-165.4064,32.16,100,100,17.27,US,1678118658
118,fortuna,40.5982,-124.1573,39.65,96,75,8.05,US,1678118659
119,lata,40.1629,-8.3327,56.8,88,100,6.33,PT,1678118659
120,khani,41.9563,42.9566,38.77,97,97,4.18,GE,1678118660
121,chokurdakh,70.6333,147.9167,-48.19,100,76,2.59,RU,1678118661
122,kotturu,14.8167,76.2167,79.9,23,0,8.7,IN,1678118661
123,henties bay,-22.116,14.2845,65.91,80,16,14.27,NA,1678118662
124,mahebourg,-20.4081,57.7,79.09,83,75,1.14,MU,1678118663
125,vao,-22.6667,167.4833,76.48,71,100,17.96,NC,1678118664
126,nemuro,43.3236,145.575,32.36,90,1,10.22,JP,1678118665
127,northam,51.0333,-4.2167,46.26,90,100,17.02,GB,1678118666
128,atuona,-9.8,-139.0333,79.97,80,15,12.55,PF,1678118666
129,vardo,70.3705,31.1107,17.58,53,100,12.66,NO,1678118667
130,faanui,-16.4833,-151.75,80.19,76,100,10.98,PF,1678118668
131,qaanaaq,77.484,-69.3632,16.61,92,92,0.92,GL,1678118668
132,sibu,2.3,111.8167,77.31,94,40,2.3,MY,1678118669
133,puerto ayora,-0.7393,-90.3518,85.96,81,51,5.99,EC,1678118670
134,san cristobal,7.7669,-72.225,77.18,70,100,5.44,VE,1678118591
135,glendive,47.1053,-104.7125,19.49,84,100,11.5,US,1678118672
136,cockburn town,21.4612,-71.1419,80.56,61,40,11.5,TC,1678118672
137,okato,-39.2,173.8833,54.91,100,6,4.74,NZ,1678118673
138,soyo,-6.1349,12.3689,81.32,74,98,11.03,AO,1678118674
139,lima,-12.0432,-77.0282,79.05,61,0,11.5,PE,1678118348
140,wichita falls,33.9137,-98.4934,68.25,56,0,10.36,US,1678118082
141,moroto,2.5345,34.6666,79.92,30,68,18.25,UG,1678118676
142,ribeira grande,38.5167,-28.7,63.0,88,75,28.77,PT,1678118677
143,arraial do cabo,-22.9661,-42.0278,85.96,74,40,10.36,BR,1678118500
144,port elizabeth,-33.918,25.5701,70.09,89,75,11.5,ZA,1678118428
145,yamada,39.4667,141.95,38.57,64,0,4.92,JP,1678118678
146,komsomolskiy,40.4272,71.7189,52.52,66,100,4.61,UZ,1678118679
147,mugumu,-1.85,34.7,74.86,40,83,7.31,TZ,1678118679
148,hambantota,6.1241,81.1185,79.14,94,20,5.75,LK,1678118680
149,salalah,17.0151,54.0924,82.49,39,0,3.44,OM,1678118680
150,te anau,-45.4167,167.7167,46.81,91,63,2.21,NZ,1678118681
151,mnogovershinnyy,53.9353,139.9242,5.34,85,59,2.15,RU,1678118681
152,castro,-24.7911,-50.0119,74.59,73,14,7.23,BR,1678118507
153,parit buntar,5.1267,100.4932,82.42,86,14,3.94,MY,1678118682
154,pisek,49.3088,14.1475,43.12,48,100,10.11,CZ,1678118682
155,georgetown,5.4112,100.3354,82.35,74,20,3.44,MY,1678118530
156,yumen,40.2833,97.2,44.8,29,2,15.55,CN,1678118432
157,carutapera,-1.195,-46.02,80.92,90,92,8.14,BR,1678118683
158,yellowknife,62.456,-114.3525,-28.44,75,75,5.75,CA,1678118607
159,the valley,18.217,-63.0578,84.06,69,40,11.5,AI,1678118684
160,romanovo,52.6182,81.2271,29.98,89,86,17.16,RU,1678118684
161,mzimba,-11.9,33.6,67.48,94,100,2.91,MW,1678118685
162,vila franca do campo,37.7167,-25.4333,61.21,82,37,16.02,PT,1678118685
163,berlevag,70.8578,29.0864,15.6,56,75,11.5,NO,1678118686
164,kungurtug,50.5994,97.5228,10.53,95,19,2.17,RU,1678118686
165,guinguineo,14.2667,-15.95,98.42,18,0,6.91,SN,1678118686
166,keratea,37.8073,23.9769,59.68,58,20,12.66,GR,1678118687
167,hithadhoo,-0.6,73.0833,82.4,66,7,1.68,MV,1678118687
168,arman,59.7,150.1667,-0.62,97,100,4.41,RU,1678118688
169,touros,-5.1989,-35.4608,83.32,70,100,16.4,BR,1678118504
170,butaritari,3.0707,172.7902,79.77,76,44,6.98,KI,1678118688
171,hamilton,39.1834,-84.5333,64.24,48,0,10.36,US,1678118689
172,si racha,13.1737,100.9311,83.95,74,0,6.78,TH,1678118689
173,barinitas,8.7622,-70.4111,69.28,52,100,3.27,VE,1678118690
174,teahupoo,-17.8333,-149.2667,72.54,84,100,17.22,PF,1678118690
175,padre paraiso,-17.0742,-41.4844,91.17,34,7,3.98,BR,1678118690
176,paamiut,61.994,-49.6678,35.89,78,16,4.97,GL,1678118691
177,tevriz,57.509,72.4042,30.6,86,100,13.85,RU,1678118691
178,winslow,35.0242,-110.6974,37.58,52,0,0.0,US,1678118483
179,turbat,26.0023,63.044,78.33,39,1,7.36,PK,1678118692
180,camacha,33.0833,-16.3333,67.42,78,40,6.91,PT,1678118692
181,san patricio,28.017,-97.5169,78.75,61,16,9.93,US,1678118693
182,ginda,30.6945,78.4932,50.29,39,9,6.64,IN,1678118693
183,ilulissat,69.2167,-51.1,19.83,81,42,1.28,GL,1678118693
184,quatre cocos,-20.2078,57.7625,78.91,88,100,9.33,MU,1678118694
185,bonavista,48.6499,-53.1147,28.81,86,87,7.61,CA,1678118695
186,gat,31.61,34.7642,61.48,100,1,8.61,IL,1678118460
187,bethel,41.3712,-73.414,48.97,41,0,12.66,US,1678118695
188,coihaique,-45.5752,-72.0662,52.41,82,100,8.05,CL,1678118657
189,sibolga,1.7427,98.7792,76.06,90,100,3.36,ID,1678118696
190,norman wells,65.282,-126.8329,-27.36,68,75,3.44,CA,1678118697
191,aklavik,68.2191,-135.0107,-25.6,75,0,3.44,CA,1678118697
192,teknaf,20.8624,92.3058,72.66,77,0,5.91,BD,1678118698
193,deputatskiy,69.3,139.9,-11.33,97,100,3.27,RU,1678118698
194,chara,56.9064,118.2631,-8.48,67,23,2.35,RU,1678118699
195,great yarmouth,52.6083,1.7305,45.45,87,100,16.26,GB,1678118699
196,izhma,65.0083,53.9113,-4.05,100,94,4.14,RU,1678118700
197,batagay,67.6333,134.6333,-16.19,100,98,1.9,RU,1678118701
198,comodoro rivadavia,-45.8667,-67.5,71.46,43,0,16.11,AR,1678118702
